Name,Ticker,Inception Date,Category,Investment Style,1 Year,3 Year,5 Year,10 Year,Benchmark,Category 1 Yr,Category 3 Yr,Category 5 Yr,Category 10 Yr,Vs 1 Yr,Vs 3 Yr,Vs 5 Year,Vs 10 Yr
b'American Funds American Mutual Fund Class A (AMRMX)',Ticker,Inception Date,b'Intermediate Core-Plus Bond',Investment Style,b'9.48%',b'10.85%',b'8.73%',b'12.69%',Benchmark,b'5.79%',b'10.12%',b'6.84%',b'12.20%',Vs 1 Yr,Vs 3 Yr,Vs 5 Year,Vs 10 Yr
